CustomerKey,Gender,State Code,State,Country Code,Country,Continent,Age
1200226,Male,CA,California,US,United States,North America,78
1200334,Male,CA,California,US,United States,North America,31
1201225,Male,CA,California,US,United States,North America,24
1204911,Male,CA,California,US,United States,North America,33
1207572,Female,CA,California,US,United States,North America,85
1212508,Male,CA,California,US,United States,North America,29
1215604,Female,CA,California,US,United States,North America,58
1219057,Female,CA,California,US,United States,North America,67
1223905,Female,CA,California,US,United States,North America,54
1227019,Female,CA,California,US,United States,North America,53
1230883,Male,CA,California,US,United States,North America,72
1237798,Male,CA,California,US,United States,North America,55
1239749,Male,CA,California,US,United States,North America,36
1242132,Male,CA,California,US,United States,North America,34
1247911,Male,CA,California,US,United States,North America,54
1249709,Female,CA,California,US,United States,North America,26
1250181,Female,CA,California,US,United States,North America,59
1255007,Male,CA,California,US,United States,North America,19
1255861,Male,CA,California,US,United States,North America,79
1259925,Female,CA,California,US,United States,North America,51
1261733,Female,CA,California,US,United States,North America,78
1263892,Female,CA,California,US,United States,North America,51
1266796,Male,CA,California,US,United States,North America,19
1268973,Male,CA,California,US,United States,North America,61
1269198,Female,CA,California,US,United States,North America,28
1272664,Female,CA,California,US,United States,North America,80
1273789,Male,CA,California,US,United States,North America,44
1276215,Female,CA,California,US,United States,North America,27
1277723,Male,CA,California,US,United States,North America,54
1280814,Male,CA,California,US,United States,North America,70
1281061,Female,CA,California,US,United States,North America,27
1281909,Male,CA,California,US,United States,North America,28
1285982,Male,CA,California,US,United States,North America,55
1291500,Male,CA,California,US,United States,North America,62
1294101,Male,CA,California,US,United States,North America,25
1294299,Female,CA,California,US,United States,North America,26
1295879,Female,CA,California,US,United States,North America,69
1300782,Male,CA,California,US,United States,North America,48
1307861,Male,CA,California,US,United States,North America,64
1313714,Male,CA,California,US,United States,North America,31
1317960,Male,CA,California,US,United States,North America,68
1328539,Female,CA,California,US,United States,North America,30
1329087,Female,CA,California,US,United States,North America,57
1329217,Female,CA,California,US,United States,North America,64
1335112,Female,CA,California,US,United States,North America,82
1348276,Male,CA,California,US,United States,North America,65
1348555,Male,CA,California,US,United States,North America,83
1351129,Female,CA,California,US,United States,North America,49
1357707,Male,CA,California,US,United States,North America,51
1369229,Female,CA,California,US,United States,North America,50
1381883,Male,CA,California,US,United States,North America,24
1384785,Male,CA,California,US,United States,North America,39
1389502,Male,CA,California,US,United States,North America,73
1389947,Female,CA,California,US,United States,North America,79
1390231,Male,CA,California,US,United States,North America,34
1394280,Female,CA,California,US,United States,North America,82
1394357,Female,CA,California,US,United States,North America,58
1394910,Male,CA,California,US,United States,North America,85
1398115,Male,CA,California,US,United States,North America,73
1399523,Male,CA,California,US,United States,North America,68
1400125,Male,CA,California,US,United States,North America,65
1402836,Male,CA,California,US,United States,North America,65
1407399,Male,CA,California,US,United States,North America,84
1408901,Male,CA,California,US,United States,North America,40
1409813,Female,CA,California,US,United States,North America,19
1410200,Male,CA,California,US,United States,North America,22
1410384,Male,CA,California,US,United States,North America,31
1410879,Female,CA,California,US,United States,North America,46
1411736,Male,CA,California,US,United States,North America,53
1412984,Male,CA,California,US,United States,North America,25
1413474,Female,CA,California,US,United States,North America,27
1413595,Male,CA,California,US,United States,North America,79
1415884,Female,CA,California,US,United States,North America,79
1417520,Female,CA,California,US,United States,North America,36
1418015,Female,CA,California,US,United States,North America,28
1418536,Female,CA,California,US,United States,North America,41
1421327,Female,CA,California,US,United States,North America,24
1426855,Female,CA,California,US,United States,North America,33
1434378,Male,CA,California,US,United States,North America,82
1436701,Male,CA,California,US,United States,North America,31
1442568,Male,CA,California,US,United States,North America,79
1447817,Female,CA,California,US,United States,North America,77
1450204,Female,CA,California,US,United States,North America,58
1451919,Female,CA,California,US,United States,North America,28
1452157,Male,CA,California,US,United States,North America,31
1453780,Male,CA,California,US,United States,North America,66
1457311,Female,CA,California,US,United States,North America,70
1462327,Female,CA,California,US,United States,North America,77
1463387,Female,CA,California,US,United States,North America,35
1464329,Male,CA,California,US,United States,North America,62
1470259,Male,CA,California,US,United States,North America,71
1470899,Female,CA,California,US,United States,North America,62
1476411,Female,CA,California,US,United States,North America,84
1476736,Female,CA,California,US,United States,North America,73
1481436,Female,CA,California,US,United States,North America,80
1483842,Female,CA,California,US,United States,North America,65
1485919,Male,CA,California,US,United States,North America,23
1489272,Female,CA,California,US,United States,North America,25
1490608,Female,CA,California,US,United States,North America,34
1493002,Male,CA,California,US,United States,North America,75
1493989,Male,CA,California,US,United States,North America,47
1494306,Female,CA,California,US,United States,North America,60
1495587,Female,CA,California,US,United States,North America,36
1501475,Male,CA,California,US,United States,North America,33
1506205,Male,CA,California,US,United States,North America,70
1510340,Male,CA,California,US,United States,North America,84
1512910,Female,CA,California,US,United States,North America,36
1513894,Male,CA,California,US,United States,North America,32
1514026,Male,CA,California,US,United States,North America,27
1517642,Male,CA,California,US,United States,North America,45
1517784,Male,CA,California,US,United States,North America,55
1522988,Female,CA,California,US,United States,North America,48
1524904,Female,CA,California,US,United States,North America,83
1532393,Female,CA,California,US,United States,North America,77
1535837,Male,CA,California,US,United States,North America,38
1537138,Female,CA,California,US,United States,North America,21
1538998,Male,CA,California,US,United States,North America,78
1541091,Female,CA,California,US,United States,North America,68
1545191,Male,CA,California,US,United States,North America,42
1548670,Female,CA,California,US,United States,North America,47
1551212,Female,CA,California,US,United States,North America,33
1556280,Female,CA,California,US,United States,North America,21
1559404,Male,CA,California,US,United States,North America,26
1559597,Female,CA,California,US,United States,North America,72
1560282,Male,CA,California,US,United States,North America,27
1560671,Male,CA,California,US,United States,North America,76
1561055,Female,CA,California,US,United States,North America,19
1562806,Male,CA,California,US,United States,North America,43
1564119,Female,CA,California,US,United States,North America,63
1564441,Female,CA,California,US,United States,North America,36
1565612,Female,CA,California,US,United States,North America,70
1567300,Male,CA,California,US,United States,North America,70
1570462,Male,CA,California,US,United States,North America,38
1576898,Male,CA,California,US,United States,North America,74
1580162,Male,CA,California,US,United States,North America,78
1586212,Female,CA,California,US,United States,North America,47
1588310,Male,CA,California,US,United States,North America,47
1588808,Female,CA,California,US,United States,North America,71
1591870,Male,CA,California,US,United States,North America,33
1592825,Male,CA,California,US,United States,North America,71
1593472,Male,CA,California,US,United States,North America,30
1594114,Male,CA,California,US,United States,North America,44
1595418,Male,CA,California,US,United States,North America,77
1596675,Male,CA,California,US,United States,North America,69
1597080,Male,CA,California,US,United States,North America,38
1599888,Female,CA,California,US,United States,North America,77
1604098,Male,CA,California,US,United States,North America,23
1608389,Male,CA,California,US,United States,North America,62
1612372,Male,CA,California,US,United States,North America,22
1614172,Female,CA,California,US,United States,North America,49
1614264,Male,CA,California,US,United States,North America,40
1614457,Female,CA,California,US,United States,North America,61
1615077,Female,CA,California,US,United States,North America,50
1629416,Female,CA,California,US,United States,North America,44
1633410,Female,CA,California,US,United States,North America,63
1636220,Male,CA,California,US,United States,North America,41
1640061,Female,CA,California,US,United States,North America,19
1640971,Female,CA,California,US,United States,North America,29
1641012,Female,CA,California,US,United States,North America,69
1647275,Male,CA,California,US,United States,North America,63
1651649,Female,CA,California,US,United States,North America,66
1655136,Male,CA,California,US,United States,North America,63
1656683,Female,CA,California,US,United States,North America,65
1661431,Female,CA,California,US,United States,North America,48
1665827,Male,CA,California,US,United States,North America,67
1673097,Male,CA,California,US,United States,North America,68
1676193,Female,CA,California,US,United States,North America,63
1680987,Female,CA,California,US,United States,North America,47
1681087,Male,CA,California,US,United States,North America,73
1681885,Male,CA,California,US,United States,North America,19
1683913,Male,CA,California,US,United States,North America,39
1685292,Male,CA,California,US,United States,North America,83
1685920,Female,CA,California,US,United States,North America,44
1686731,Female,CA,California,US,United States,North America,42
1691485,Female,CA,California,US,United States,North America,72
1691539,Male,CA,California,US,United States,North America,51
1694274,Male,CA,California,US,United States,North America,42
1697968,Female,CA,California,US,United States,North America,26
1700023,Female,CA,California,US,United States,North America,65
1703810,Male,CA,California,US,United States,North America,35
1703884,Female,CA,California,US,United States,North America,34
1709082,Male,CA,California,US,United States,North America,25
1709109,Male,CA,California,US,United States,North America,73
1710291,Female,CA,California,US,United States,North America,25
1712400,Male,CA,California,US,United States,North America,76
1713329,Male,CA,California,US,United States,North America,32
1724829,Female,CA,California,US,United States,North America,83
1725126,Female,CA,California,US,United States,North America,38
1727052,Male,CA,California,US,United States,North America,38
1731724,Female,CA,California,US,United States,North America,36
1732301,Female,CA,California,US,United States,North America,37
1739858,Male,CA,California,US,United States,North America,30
1749641,Female,CA,California,US,United States,North America,72
1750601,Male,CA,California,US,United States,North America,30
1754480,Female,CA,California,US,United States,North America,58
1757546,Female,CA,California,US,United States,North America,30
1759800,Male,CA,California,US,United States,North America,58
1760212,Male,CA,California,US,United States,North America,52
1763144,Female,CA,California,US,United States,North America,64
1763999,Female,CA,California,US,United States,North America,64
1765947,Female,CA,California,US,United States,North America,44
1771348,Male,CA,California,US,United States,North America,28
1778557,Male,CA,California,US,United States,North America,58
1780765,Male,CA,California,US,United States,North America,36
1781916,Male,CA,California,US,United States,North America,29
1782932,Male,CA,California,US,United States,North America,48
1784511,Female,CA,California,US,United States,North America,81
1787177,Female,CA,California,US,United States,North America,54
1788084,Female,CA,California,US,United States,North America,51
1794173,Female,CA,California,US,United States,North America,24
1795527,Male,CA,California,US,United States,North America,38
1799993,Male,CA,California,US,United States,North America,51
1804901,Male,CA,California,US,United States,North America,27
1806980,Female,CA,California,US,United States,North America,85
1807649,Male,CA,California,US,United States,North America,57
1809039,Male,CA,California,US,United States,North America,25
1811089,Female,CA,California,US,United States,North America,83
1811591,Female,CA,California,US,United States,North America,85
1812524,Male,CA,California,US,United States,North America,56
1815544,Female,CA,California,US,United States,North America,79
1817731,Female,CA,California,US,United States,North America,25
1817987,Female,CA,California,US,United States,North America,38
1834499,Male,CA,California,US,United States,North America,72
1842350,Male,CA,California,US,United States,North America,36
1852628,Male,CA,California,US,United States,North America,72
1853674,Female,CA,California,US,United States,North America,22
1854536,Female,CA,California,US,United States,North America,67
1857755,Male,CA,California,US,United States,North America,73
1859046,Female,CA,California,US,United States,North America,19
1859745,Female,CA,California,US,United States,North America,56
1860410,Female,CA,California,US,United States,North America,22
1866061,Male,CA,California,US,United States,North America,20
1868065,Male,CA,California,US,United States,North America,31
1869464,Male,CA,California,US,United States,North America,29
1870819,Female,CA,California,US,United States,North America,48
1871939,Female,CA,California,US,United States,North America,72
1874193,Female,CA,California,US,United States,North America,40
1874264,Male,CA,California,US,United States,North America,56
1874473,Female,CA,California,US,United States,North America,63
1875572,Female,CA,California,US,United States,North America,75
1877480,Female,CA,California,US,United States,North America,40
1878744,Male,CA,California,US,United States,North America,71
1881619,Male,CA,California,US,United States,North America,73
1882349,Female,CA,California,US,United States,North America,82
1882354,Male,CA,California,US,United States,North America,43
1884170,Female,CA,California,US,United States,North America,49
1886761,Female,CA,California,US,United States,North America,63
1892644,Male,CA,California,US,United States,North America,83
1895227,Female,CA,California,US,United States,North America,71
1899770,Male,CA,California,US,United States,North America,67
1900682,Female,CA,California,US,United States,North America,58
1906932,Male,CA,California,US,United States,North America,35
1911567,Female,CA,California,US,United States,North America,61
1918085,Female,CA,California,US,United States,North America,60
1920950,Female,CA,California,US,United States,North America,83
1927474,Female,CA,California,US,United States,North America,25
1933025,Male,CA,California,US,United States,North America,21
1938723,Female,CA,California,US,United States,North America,47
1940662,Female,CA,California,US,United States,North America,34
1941469,Male,CA,California,US,United States,North America,29
1943304,Female,CA,California,US,United States,North America,71
1945649,Female,CA,California,US,United States,North America,37
1946586,Female,CA,California,US,United States,North America,29
1950457,Male,CA,California,US,United States,North America,57
1950933,Female,CA,California,US,United States,North America,27
1955526,Male,CA,California,US,United States,North America,82
1958382,Female,CA,California,US,United States,North America,76
1959124,Female,CA,California,US,United States,North America,67
1960187,Male,CA,California,US,United States,North America,52
1964540,Male,CA,California,US,United States,North America,54
1969117,Male,CA,California,US,United States,North America,42
1972044,Female,CA,California,US,United States,North America,32
1976526,Female,CA,California,US,United States,North America,49
1978849,Male,CA,California,US,United States,North America,29
1982635,Male,CA,California,US,United States,North America,32
1988432,Female,CA,California,US,United States,North America,26
1989539,Female,CA,California,US,United States,North America,72
1992303,Female,CA,California,US,United States,North America,78
1996805,Female,CA,California,US,United States,North America,41
2001373,Male,CA,California,US,United States,North America,42
2002841,Female,CA,California,US,United States,North America,79
2004932,Female,CA,California,US,United States,North America,32
2007877,Male,CA,California,US,United States,North America,60
2008031,Male,CA,California,US,United States,North America,57
2009945,Female,CA,California,US,United States,North America,76
2018383,Male,CA,California,US,United States,North America,39
2021072,Female,CA,California,US,United States,North America,45
2022681,Male,CA,California,US,United States,North America,38
2025955,Female,CA,California,US,United States,North America,28
2026383,Female,CA,California,US,United States,North America,76
2027463,Female,CA,California,US,United States,North America,37
2029173,Female,CA,California,US,United States,North America,75
2031247,Male,CA,California,US,United States,North America,41
2037691,Male,CA,California,US,United States,North America,21
2040826,Female,CA,California,US,United States,North America,27
2042960,Male,CA,California,US,United States,North America,36
2048869,Male,CA,California,US,United States,North America,35
2052182,Male,CA,California,US,United States,North America,76
2054642,Female,CA,California,US,United States,North America,57
2056301,Female,CA,California,US,United States,North America,49
2057507,Female,CA,California,US,United States,North America,80
2059592,Female,CA,California,US,United States,North America,74
2061163,Male,CA,California,US,United States,North America,82
2062271,Male,CA,California,US,United States,North America,42
2072900,Female,CA,California,US,United States,North America,85
2074070,Male,CA,California,US,United States,North America,68
2075493,Female,CA,California,US,United States,North America,80
2082624,Female,CA,California,US,United States,North America,66
2085890,Female,CA,California,US,United States,North America,28
2092988,Male,CA,California,US,United States,North America,69
2096087,Male,CA,California,US,United States,North America,77
1200139,Male,TX,Texas,US,United States,North America,28
1204927,Male,TX,Texas,US,United States,North America,73
1209401,Female,TX,Texas,US,United States,North America,35
1215755,Female,TX,Texas,US,United States,North America,80
1217781,Female,TX,Texas,US,United States,North America,79
1219045,Male,TX,Texas,US,United States,North America,19
1225176,Female,TX,Texas,US,United States,North America,66
1226295,Female,TX,Texas,US,United States,North America,61
1230737,Female,TX,Texas,US,United States,North America,44
1232593,Female,TX,Texas,US,United States,North America,62
1233116,Male,TX,Texas,US,United States,North America,20
1233736,Male,TX,Texas,US,United States,North America,66
1236959,Male,TX,Texas,US,United States,North America,71
1238893,Male,TX,Texas,US,United States,North America,21
1240912,Female,TX,Texas,US,United States,North America,83
1247604,Male,TX,Texas,US,United States,North America,35
1249931,Male,TX,Texas,US,United States,North America,51
1266410,Male,TX,Texas,US,United States,North America,21
1271374,Female,TX,Texas,US,United States,North America,59
1276951,Male,TX,Texas,US,United States,North America,80
1277321,Male,TX,Texas,US,United States,North America,69
1284621,Female,TX,Texas,US,United States,North America,19
1286931,Male,TX,Texas,US,United States,North America,44
1288961,Female,TX,Texas,US,United States,North America,62
1294340,Female,TX,Texas,US,United States,North America,75
1297543,Male,TX,Texas,US,United States,North America,37
1306147,Male,TX,Texas,US,United States,North America,50
1307115,Female,TX,Texas,US,United States,North America,80
1313053,Male,TX,Texas,US,United States,North America,71
1314487,Female,TX,Texas,US,United States,North America,49
1319453,Male,TX,Texas,US,United States,North America,51
1322829,Female,TX,Texas,US,United States,North America,33
1325989,Male,TX,Texas,US,United States,North America,37
1327960,Male,TX,Texas,US,United States,North America,39
1328958,Male,TX,Texas,US,United States,North America,71
1331409,Female,TX,Texas,US,United States,North America,51
1337541,Male,TX,Texas,US,United States,North America,44
1343826,Male,TX,Texas,US,United States,North America,64
1347791,Female,TX,Texas,US,United States,North America,75
1363904,Female,TX,Texas,US,United States,North America,37
1364112,Female,TX,Texas,US,United States,North America,24
1365877,Female,TX,Texas,US,United States,North America,37
1371582,Female,TX,Texas,US,United States,North America,28
1373725,Female,TX,Texas,US,United States,North America,73
1381302,Female,TX,Texas,US,United States,North America,64
1385732,Female,TX,Texas,US,United States,North America,23
1387812,Male,TX,Texas,US,United States,North America,73
1389469,Male,TX,Texas,US,United States,North America,57
1389954,Female,TX,Texas,US,United States,North America,44
1391361,Female,TX,Texas,US,United States,North America,58
1398734,Female,TX,Texas,US,United States,North America,37
1413742,Male,TX,Texas,US,United States,North America,19
1418748,Female,TX,Texas,US,United States,North America,36
1420133,Male,TX,Texas,US,United States,North America,84
1421506,Female,TX,Texas,US,United States,North America,71
1429357,Female,TX,Texas,US,United States,North America,20
1435428,Female,TX,Texas,US,United States,North America,20
1439617,Female,TX,Texas,US,United States,North America,35
1440426,Female,TX,Texas,US,United States,North America,50
1440639,Male,TX,Texas,US,United States,North America,21
1441468,Female,TX,Texas,US,United States,North America,32
1443639,Female,TX,Texas,US,United States,North America,28
1461079,Male,TX,Texas,US,United States,North America,67
1462644,Female,TX,Texas,US,United States,North America,80
1479490,Female,TX,Texas,US,United States,North America,60
1481483,Male,TX,Texas,US,United States,North America,28
1495797,Male,TX,Texas,US,United States,North America,37
1496135,Female,TX,Texas,US,United States,North America,49
1501436,Female,TX,Texas,US,United States,North America,61
1510291,Female,TX,Texas,US,United States,North America,78
1511524,Female,TX,Texas,US,United States,North America,75
1511959,Male,TX,Texas,US,United States,North America,28
1512517,Female,TX,Texas,US,United States,North America,51
1513361,Male,TX,Texas,US,United States,North America,82
1521480,Female,TX,Texas,US,United States,North America,31
1522712,Female,TX,Texas,US,United States,North America,63
1528188,Male,TX,Texas,US,United States,North America,60
1543863,Female,TX,Texas,US,United States,North America,40
1564526,Female,TX,Texas,US,United States,North America,46
1566454,Male,TX,Texas,US,United States,North America,29
1571048,Female,TX,Texas,US,United States,North America,47
1572139,Female,TX,Texas,US,United States,North America,60
1575490,Male,TX,Texas,US,United States,North America,83
1580322,Male,TX,Texas,US,United States,North America,47
1582048,Female,TX,Texas,US,United States,North America,70
1586099,Female,TX,Texas,US,United States,North America,53
1587448,Male,TX,Texas,US,United States,North America,27
1589038,Female,TX,Texas,US,United States,North America,78
1589641,Male,TX,Texas,US,United States,North America,68
1591375,Male,TX,Texas,US,United States,North America,64
1602419,Male,TX,Texas,US,United States,North America,82
1605373,Male,TX,Texas,US,United States,North America,57
1616131,Male,TX,Texas,US,United States,North America,50
1616180,Male,TX,Texas,US,United States,North America,49
1616404,Male,TX,Texas,US,United States,North America,25
1626693,Female,TX,Texas,US,United States,North America,82
1629877,Female,TX,Texas,US,United States,North America,77
1654795,Female,TX,Texas,US,United States,North America,53
1665912,Male,TX,Texas,US,United States,North America,35
1666279,Female,TX,Texas,US,United States,North America,47
1669938,Female,TX,Texas,US,United States,North America,75
1670127,Male,TX,Texas,US,United States,North America,32
1673243,Male,TX,Texas,US,United States,North America,40
1673434,Female,TX,Texas,US,United States,North America,64
1677017,Male,TX,Texas,US,United States,North America,82
1680080,Male,TX,Texas,US,United States,North America,60
1681294,Male,TX,Texas,US,United States,North America,24
1683873,Male,TX,Texas,US,United States,North America,71
1684746,Male,TX,Texas,US,United States,North America,76
1690387,Male,TX,Texas,US,United States,North America,30
1693545,Female,TX,Texas,US,United States,North America,75
1696309,Male,TX,Texas,US,United States,North America,32
1699525,Female,TX,Texas,US,United States,North America,51
1704351,Male,TX,Texas,US,United States,North America,72
1707415,Female,TX,Texas,US,United States,North America,22
1708378,Male,TX,Texas,US,United States,North America,52
1712703,Male,TX,Texas,US,United States,North America,61
1718486,Female,TX,Texas,US,United States,North America,34
1724660,Male,TX,Texas,US,United States,North America,38
1732121,Male,TX,Texas,US,United States,North America,31
1734483,Female,TX,Texas,US,United States,North America,25
1735144,Female,TX,Texas,US,United States,North America,34
1739732,Female,TX,Texas,US,United States,North America,72
1740575,Female,TX,Texas,US,United States,North America,26
1744651,Male,TX,Texas,US,United States,North America,41
1750899,Female,TX,Texas,US,United States,North America,23
1753401,Female,TX,Texas,US,United States,North America,72
1754522,Male,TX,Texas,US,United States,North America,40
1758974,Male,TX,Texas,US,United States,North America,47
1763562,Male,TX,Texas,US,United States,North America,47
1769035,Female,TX,Texas,US,United States,North America,21
1772930,Male,TX,Texas,US,United States,North America,71
1776240,Female,TX,Texas,US,United States,North America,85
1780749,Male,TX,Texas,US,United States,North America,22
1786837,Female,TX,Texas,US,United States,North America,58
1787841,Male,TX,Texas,US,United States,North America,68
1789986,Male,TX,Texas,US,United States,North America,66
1791266,Male,TX,Texas,US,United States,North America,25
1791995,Female,TX,Texas,US,United States,North America,84
1793549,Male,TX,Texas,US,United States,North America,51
1794786,Female,TX,Texas,US,United States,North America,58
1795602,Male,TX,Texas,US,United States,North America,35
1796844,Male,TX,Texas,US,United States,North America,61
1802138,Female,TX,Texas,US,United States,North America,82
1804169,Male,TX,Texas,US,United States,North America,82
1805212,Male,TX,Texas,US,United States,North America,84
1812476,Female,TX,Texas,US,United States,North America,41
1820377,Female,TX,Texas,US,United States,North America,55
1832551,Female,TX,Texas,US,United States,North America,62
1833695,Female,TX,Texas,US,United States,North America,45
1834410,Male,TX,Texas,US,United States,North America,63
1836077,Male,TX,Texas,US,United States,North America,81
1837001,Male,TX,Texas,US,United States,North America,78
1844329,Male,TX,Texas,US,United States,North America,41
1849308,Female,TX,Texas,US,United States,North America,72
1852683,Female,TX,Texas,US,United States,North America,81
1859950,Female,TX,Texas,US,United States,North America,28
1864787,Male,TX,Texas,US,United States,North America,67
1868444,Female,TX,Texas,US,United States,North America,70
1869068,Male,TX,Texas,US,United States,North America,20
1874080,Female,TX,Texas,US,United States,North America,75
1878336,Female,TX,Texas,US,United States,North America,30
1879060,Male,TX,Texas,US,United States,North America,67
1879137,Male,TX,Texas,US,United States,North America,39
1889471,Male,TX,Texas,US,United States,North America,79
1893340,Male,TX,Texas,US,United States,North America,47
1894779,Female,TX,Texas,US,United States,North America,59
1895284,Female,TX,Texas,US,United States,North America,22
1896958,Male,TX,Texas,US,United States,North America,40
1897251,Female,TX,Texas,US,United States,North America,54
1899258,Female,TX,Texas,US,United States,North America,35
1905232,Male,TX,Texas,US,United States,North America,41
1905959,Male,TX,Texas,US,United States,North America,78
1907243,Female,TX,Texas,US,United States,North America,58
1909720,Male,TX,Texas,US,United States,North America,63
1914412,Female,TX,Texas,US,United States,North America,36
1915801,Male,TX,Texas,US,United States,North America,39
1916770,Female,TX,Texas,US,United States,North America,65
1917859,Female,TX,Texas,US,United States,North America,21
1920883,Male,TX,Texas,US,United States,North America,81
1923984,Male,TX,Texas,US,United States,North America,49
1924553,Female,TX,Texas,US,United States,North America,23
1929334,Female,TX,Texas,US,United States,North America,80
1930918,Female,TX,Texas,US,United States,North America,62
1931875,Male,TX,Texas,US,United States,North America,20
1942303,Male,TX,Texas,US,United States,North America,33
1953586,Male,TX,Texas,US,United States,North America,54
1955324,Female,TX,Texas,US,United States,North America,61
1959248,Male,TX,Texas,US,United States,North America,48
1960690,Female,TX,Texas,US,United States,North America,49
1961625,Female,TX,Texas,US,United States,North America,68
1966384,Male,TX,Texas,US,United States,North America,34
1968723,Female,TX,Texas,US,United States,North America,29
1969340,Male,TX,Texas,US,United States,North America,68
1971754,Female,TX,Texas,US,United States,North America,40
1996403,Female,TX,Texas,US,United States,North America,28
2002239,Female,TX,Texas,US,United States,North America,56
2014362,Male,TX,Texas,US,United States,North America,28
2016862,Female,TX,Texas,US,United States,North America,42
2026978,Male,TX,Texas,US,United States,North America,40
2028142,Female,TX,Texas,US,United States,North America,84
2031123,Female,TX,Texas,US,United States,North America,77
2031318,Female,TX,Texas,US,United States,North America,70
2032952,Female,TX,Texas,US,United States,North America,45
2035577,Female,TX,Texas,US,United States,North America,51
2042743,Male,TX,Texas,US,United States,North America,56
2047439,Female,TX,Texas,US,United States,North America,75
2049543,Male,TX,Texas,US,United States,North America,19
2052849,Male,TX,Texas,US,United States,North America,75
2052897,Female,TX,Texas,US,United States,North America,76
2056384,Female,TX,Texas,US,United States,North America,75
2062917,Male,TX,Texas,US,United States,North America,26
2063156,Female,TX,Texas,US,United States,North America,49
2079379,Male,TX,Texas,US,United States,North America,38
2081772,Male,TX,Texas,US,United States,North America,38
2082622,Female,TX,Texas,US,United States,North America,60
2084221,Male,TX,Texas,US,United States,North America,82
2089847,Female,TX,Texas,US,United States,North America,41
2092833,Female,TX,Texas,US,United States,North America,72
2095309,Male,TX,Texas,US,United States,North America,85
1205071,Male,NY,New York,US,United States,North America,83
1209699,Male,NY,New York,US,United States,North America,64
1229202,Female,NY,New York,US,United States,North America,59
1235391,Male,NY,New York,US,United States,North America,70
1238045,Male,NY,New York,US,United States,North America,85
1239579,Male,NY,New York,US,United States,North America,40
1241848,Male,NY,New York,US,United States,North America,56
1245241,Female,NY,New York,US,United States,North America,61
1255692,Male,NY,New York,US,United States,North America,57
1266478,Female,NY,New York,US,United States,North America,46
1268063,Male,NY,New York,US,United States,North America,26
1268096,Male,NY,New York,US,United States,North America,25
1269771,Female,NY,New York,US,United States,North America,23
1272290,Male,NY,New York,US,United States,North America,31
1284544,Female,NY,New York,US,United States,North America,72
1296458,Female,NY,New York,US,United States,North America,78
1304891,Male,NY,New York,US,United States,North America,55
1309160,Male,NY,New York,US,United States,North America,67
1313881,Male,NY,New York,US,United States,North America,66
1324853,Female,NY,New York,US,United States,North America,79
1342064,Male,NY,New York,US,United States,North America,46
1363505,Female,NY,New York,US,United States,North America,84
1387753,Female,NY,New York,US,United States,North America,79
1390213,Male,NY,New York,US,United States,North America,72
1390256,Female,NY,New York,US,United States,North America,33
1395300,Female,NY,New York,US,United States,North America,54
1401397,Male,NY,New York,US,United States,North America,40
1402712,Male,NY,New York,US,United States,North America,22
1406434,Male,NY,New York,US,United States,North America,59
1406874,Female,NY,New York,US,United States,North America,40
1407479,Male,NY,New York,US,United States,North America,78
1412880,Female,NY,New York,US,United States,North America,51
1418609,Male,NY,New York,US,United States,North America,58
1422658,Male,NY,New York,US,United States,North America,63
1427869,Male,NY,New York,US,United States,North America,74
1443187,Male,NY,New York,US,United States,North America,28
1457037,Male,NY,New York,US,United States,North America,79
1457500,Male,NY,New York,US,United States,North America,67
1464374,Male,NY,New York,US,United States,North America,78
1466191,Male,NY,New York,US,United States,North America,33
1468140,Female,NY,New York,US,United States,North America,85
1468193,Male,NY,New York,US,United States,North America,63
1473970,Male,NY,New York,US,United States,North America,40
1491175,Female,NY,New York,US,United States,North America,80
