ProductKey,Product Code,Manufacturer,Brand,Color,Weight Unit Measure,Weight,Unit Cost,Unit Price,Subcategory Code,Subcategory,Category Code,Category
29,101029,"Contoso, Ltd",Contoso,White,pounds,1.2,84.49,255,101,MP4&MP3,1,Audio
266,203075,"Contoso, Ltd",Contoso,White,pounds,37.2,152.44,299,203,Home Theater System,2,TV and Video
267,203076,"Contoso, Ltd",Contoso,White,pounds,19,167.73,329,203,Home Theater System,2,TV and Video
268,203077,"Contoso, Ltd",Contoso,White,pounds,41,294.54,889,203,Home Theater System,2,TV and Video
269,203078,"Contoso, Ltd",Contoso,White,pounds,7.5,208.52,409,203,Home Theater System,2,TV and Video
270,203079,"Contoso, Ltd",Contoso,White,pounds,11.4,197.28,429,203,Home Theater System,2,TV and Video
271,203080,"Contoso, Ltd",Contoso,White,pounds,65,224.87,489,203,Home Theater System,2,TV and Video
272,203081,"Contoso, Ltd",Contoso,White,pounds,34,167.73,329,203,Home Theater System,2,TV and Video
273,203082,"Contoso, Ltd",Contoso,White,pounds,30.5,155.89,339,203,Home Theater System,2,TV and Video
274,203083,"Contoso, Ltd",Contoso,White,pounds,32,183.49,399,203,Home Theater System,2,TV and Video
275,203084,"Contoso, Ltd",Contoso,White,pounds,73,101.46,199,203,Home Theater System,2,TV and Video
276,203085,"Contoso, Ltd",Contoso,White,pounds,90.8,243.27,529,203,Home Theater System,2,TV and Video
277,203086,"Contoso, Ltd",Contoso,White,pounds,32.3,244.72,480,203,Home Theater System,2,TV and Video
278,203087,"Contoso, Ltd",Contoso,White,pounds,37.5,183.54,360,203,Home Theater System,2,TV and Video
587,305049,"Contoso, Ltd",Contoso,White,pounds,3.7,760.38,2295,305,Projectors & Screens,3,Computers
588,305050,"Contoso, Ltd",Contoso,White,pounds,16.1,827.97,2499,305,Projectors & Screens,3,Computers
589,305051,"Contoso, Ltd",Contoso,White,pounds,6.3,321.44,699,305,Projectors & Screens,3,Computers
590,305052,"Contoso, Ltd",Contoso,White,pounds,9.1,459.4,999,305,Projectors & Screens,3,Computers
591,305053,"Contoso, Ltd",Contoso,White,pounds,6,116.75,229,305,Projectors & Screens,3,Computers
592,305054,"Contoso, Ltd",Contoso,White,pounds,1.5,254.4,499,305,Projectors & Screens,3,Computers
593,305055,"Contoso, Ltd",Contoso,White,pounds,4,152.08,459,305,Projectors & Screens,3,Computers
594,305056,"Contoso, Ltd",Contoso,White,pounds,4.7,137.5,299,305,Projectors & Screens,3,Computers
595,305057,"Contoso, Ltd",Contoso,White,pounds,6.9,83.16,251,305,Projectors & Screens,3,Computers
596,305058,"Contoso, Ltd",Contoso,White,pounds,10.6,62.95,190,305,Projectors & Screens,3,Computers
597,305059,"Contoso, Ltd",Contoso,White,pounds,6.5,70.87,139,305,Projectors & Screens,3,Computers
598,305060,"Contoso, Ltd",Contoso,White,pounds,2.2,55.57,109,305,Projectors & Screens,3,Computers
778,308036,"Contoso, Ltd",Contoso,White,pounds,22.7,6.6,12.95,308,Computers Accessories,3,Computers
779,308037,"Contoso, Ltd",Contoso,White,pounds,19.7,20.34,39.9,308,Computers Accessories,3,Computers
780,308038,"Contoso, Ltd",Contoso,White,pounds,7.7,9.17,19.95,308,Computers Accessories,3,Computers
781,308039,"Contoso, Ltd",Contoso,White,pounds,20.5,7.59,16.5,308,Computers Accessories,3,Computers
782,308040,"Contoso, Ltd",Contoso,White,pounds,16,6.6,12.95,308,Computers Accessories,3,Computers
783,308041,"Contoso, Ltd",Contoso,White,pounds,8.4,6.88,13.5,308,Computers Accessories,3,Computers
784,308042,"Contoso, Ltd",Contoso,White,pounds,12.6,7.59,16.5,308,Computers Accessories,3,Computers
785,308043,"Contoso, Ltd",Contoso,White,pounds,13.03,4.37,9.5,308,Computers Accessories,3,Computers
786,308044,"Contoso, Ltd",Contoso,White,pounds,16,5.86,11.5,308,Computers Accessories,3,Computers
787,308045,"Contoso, Ltd",Contoso,White,pounds,13,4.84,9.5,308,Computers Accessories,3,Computers
788,308046,"Contoso, Ltd",Contoso,White,pounds,12.3,5.29,11.5,308,Computers Accessories,3,Computers
789,308047,"Contoso, Ltd",Contoso,White,pounds,28.3,15.24,29.9,308,Computers Accessories,3,Computers
790,308048,"Contoso, Ltd",Contoso,White,pounds,29,13,25.5,308,Computers Accessories,3,Computers
791,308049,"Contoso, Ltd",Contoso,White,pounds,29,13.75,29.9,308,Computers Accessories,3,Computers
792,308050,"Contoso, Ltd",Contoso,White,pounds,19.6,12.83,27.9,308,Computers Accessories,3,Computers
793,308051,"Contoso, Ltd",Contoso,White,pounds,3.7,12.83,27.9,308,Computers Accessories,3,Computers
794,308052,"Contoso, Ltd",Contoso,White,pounds,13.4,6.07,11.9,308,Computers Accessories,3,Computers
795,308053,"Contoso, Ltd",Contoso,White,pounds,7.7,7.09,13.9,308,Computers Accessories,3,Computers
796,308054,"Contoso, Ltd",Contoso,White,pounds,14.8,8.62,16.9,308,Computers Accessories,3,Computers
797,308055,"Contoso, Ltd",Contoso,White,pounds,11.7,11.23,33.9,308,Computers Accessories,3,Computers
